Run,Shifter,Particle,Beam Energy (GeV),Collimator position (mm),Time Start,,type,TriggerStatus: General Trigger Count (at begin of run),Run Config,Link to start run in elog,Issues/Comments
,,,,,,,,,,,
PROCESSED,,,,,,,,,,,
temporally limited to 16 hdf5 files,,,,,,,,,,,
,1st beam period (19th - 25th June) [Beam scan schedule],,,,,,,,,,
,,,,,,,,,,,
28097,mman,,-1,40,23.07.24 6:17,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25542,
28098,mman,,-1,40,23.07.24 7:05,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25545,
28099,jgoudeau,,-1,40,23.07.24 9:30,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25545,New fddaq-v4.4.5
28106,jgoudeau,COSMICS,-,-,23.07.24 15:31,,COSMIC,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25555,
28109,mrigan,,-1,40,23.07.24 17:47,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25558,
28111,mman,COSMICS,-,-,24.07.24 7:20,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25562,
28112,mman,,-1,40,24.07.24 7:28,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25563,
28113,mzabloud,COSMICS,-,-,24.07.24 8:37,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25566,No more beam expected from this point
28116,mzabloud,COSMICS,-,-,24.07.24 11:12,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25571,Starting an off-beam run again after np04-srv-015 crashed.
,,,,,,,,,,,
,,,,,,,,,,,26-28 runs with OV hgh 50% PDE
,Long beam period - Breakdown voltages stable for the PDS (acquiring data at 45% PDE OV for all channels),,,,,,,,,,
,3rd beam period (31th July - 04th September),,,,,,,,,,
28514,nlane,COSMICS,-,-,31.7.24 09:56,,,,np04_TPC_CRT_TPGLowThr_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26264,monitoring run with CRT
28515,nlane,COSMICS,-,-,31.7.24 10:24,,,,np04_TPC_CRT_TPGLowThr_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26266,
28516,nlane,COSMICS,-,-,31.7.24 10:27,,,,np04_TPC_TPGLowThr_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26268,
28517,marroyav,COSMICS,-,-,31.7. 24 11:12,,,,global_configs/pds_daphne/np04_DAPHNE_APA1234_Cosmics.json,https://pdsp-elog.app.cern.ch/elisa/display/26269,"checking PDS configurations and update bias in some channels"""
28518,lperez,COSMICS,-,-,31.7.24 14:24,,COSMIC,,global_configs/pds_daphne/np04_DAPHNE_APA12_SSP.json,https://pdsp-elog.app.cern.ch/elisa/display/26271,Noise run. Bias Voltages set to -0.5V in each channel. DCS bias voltage for the LED is OFF. Triggering on 0x7 command at 50Hz (change_rate 10). APAs12 180s run.
